V1	V2	V3	tf	target
G92	G2	1	b1334	b3481
G232	G3	1	b2916	b3702
G55	G4	1	b3357	b3118
G56	G4	1	b3119	b3118
G268	G4	1	b0912	b3118
G333	G4	1	b1712	b3118
G224	G6	1	b1013	b1649
G84	G8	1	b3938	b3828
G259	G10	1	b3512	b1951
G274	G10	1	b2217	b1951
G55	G11	1	b3357	b0064
G23	G19	1	b3261	b1530
G89	G19	1	b1531	b1530
G210	G19	1	b4396	b1530
G55	G23	1	b3357	b3261
G268	G23	1	b0912	b3261
G333	G23	1	b1712	b3261
G23	G55	1	b3261	b3357
G82	G57	1	b1507	b1508
G55	G58	1	b3357	b3423
G55	G60	1	b3357	b3601
G282	G60	1	b0080	b3601
G92	G69	1	b1334	b0113
G142	G77	1	b1303	b1305
G268	G77	1	b0912	b1305
G333	G77	1	b1712	b1305
G313	G78	1	b4401	b0313
G57	G82	1	b1508	b1507
G55	G83	1	b3357	b4124
G192	G83	1	b1221	b4124
G19	G89	1	b1530	b1531
G23	G89	1	b3261	b1531
G210	G89	1	b4396	b1531
G23	G93	1	b3261	b1739
G55	G95	1	b3357	b1512
G92	G99	1	b1334	b2731
G268	G99	1	b0912	b2731
G333	G99	1	b1712	b2731
G55	G106	1	b3357	b3906
G236	G106	1	b3905	b3906
G10	G110	1	b1951	b1892
G22	G110	1	b2289	b1892
G55	G110	1	b3357	b1892
G96	G110	1	b4480	b1892
G274	G110	1	b2217	b1892
G281	G110	1	b1237	b1892
G23	G113	1	b3261	b0440
G55	G113	1	b3357	b0440
G55	G128	1	b3357	b1735
G260	G128	1	b0676	b1735
G86	G144	1	b3912	b2079
G55	G145	1	b3357	b3418
G176	G145	1	b1594	b3418
G86	G150	1	b3912	b1040
G209	G150	1	b1608	b1040
G283	G150	1	b3405	b1040
G55	G151	1	b3357	b0034
G92	G151	1	b1334	b0034
G44	G160	1	b2714	b0330
G55	G160	1	b3357	b0330
G55	G161	1	b3357	b2805
G55	G167	1	b3357	b4118
G23	G183	1	b3261	b4000
G55	G183	1	b3357	b4000
G313	G187	1	b4401	b3604
G224	G188	1	b1013	b3515
G254	G188	1	b3516	b3515
G259	G188	1	b3512	b3515
G281	G188	1	b1237	b3515
G125	G189	1	b1130	b4241
G92	G192	1	b1334	b1221
G255	G192	1	b0761	b1221
G140	G197	1	b1275	b1987
G73	G201	1	b4043	b3067
G283	G203	1	b3405	b0435
G3	G204	1	b3702	b3461
G55	G204	1	b3357	b3461
G268	G204	1	b0912	b3461
G277	G204	1	b3934	b3461
G333	G204	1	b1712	b3461
G147	G207	1	b1187	b4018
G125	G209	1	b1130	b1608
G89	G210	1	b1531	b4396
G299	G216	1	b4539	b2017
G10	G219	1	b1951	b1891
G22	G219	1	b2289	b1891
G55	G219	1	b3357	b1891
G96	G219	1	b4480	b1891
G274	G219	1	b2217	b1891
G281	G219	1	b1237	b1891
G55	G236	1	b3357	b3905
G106	G236	1	b3906	b3905
G305	G243	1	b0683	b4293
G305	G246	1	b0683	b4292
G55	G247	1	b3357	b3574
G268	G247	1	b0912	b3574
G333	G247	1	b1712	b3574
G188	G254	1	b3515	b3516
G224	G254	1	b1013	b3516
G259	G254	1	b3512	b3516
G281	G254	1	b1237	b3516
G55	G259	1	b3357	b3512
G138	G259	1	b2369	b3512
G188	G259	1	b3515	b3512
G254	G259	1	b3516	b3512
G271	G259	1	b1499	b3512
G55	G260	1	b3357	b0676
G330	G263	1	b0506	b0504
G333	G268	1	b1712	b0912
G55	G269	1	b3357	b1620
G138	G271	1	b2369	b1499
G279	G273	1	b0076	b4366
G281	G273	1	b1237	b4366
G55	G277	1	b3357	b3934
G281	G279	1	b1237	b0076
G7	G281	1	b3556	b1237
G23	G281	1	b3261	b1237
G55	G283	1	b3357	b3405
G268	G283	1	b0912	b3405
G333	G283	1	b1712	b3405
G332	G284	1	b1564	b1563
G305	G289	1	b0683	b2105
G216	G299	1	b2017	b4539
G23	G303	1	b3261	b3868
G55	G303	1	b3357	b3868
G55	G305	1	b3357	b0683
G235	G305	1	b3961	b0683
G309	G305	1	b4062	b0683
G142	G306	1	b1303	b1306
G268	G306	1	b0912	b1306
G333	G306	1	b1712	b1306
G323	G309	1	b4063	b4062
G55	G315	1	b3357	b2151
G55	G316	1	b3357	b2741
G313	G316	1	b4401	b2741
G281	G319	1	b1237	b0564
G110	G329	1	b1892	b1922
G208	G329	1	b4178	b1922
G219	G329	1	b1891	b1922
G244	G331	1	b0889	b2669
G281	G331	1	b1237	b2669
G284	G332	1	b1563	b1564
G268	G333	1	b0912	b1712
G116	G340	1	b2531	b1682
G235	G340	1	b3961	b1682
G268	G340	1	b0912	b1682
G305	G340	1	b0683	b1682
G333	G340	1	b1712	b1682
G244	G342	1	b0889	b3770
G268	G342	1	b0912	b3770
G333	G342	1	b1712	b3770
G55	G343	1	b3357	b1398
G175	G343	1	b1399	b1398
G268	G343	1	b0912	b1398
G333	G343	1	b1712	b1398
G92	G351	1	b1334	b2201
G192	G351	1	b1221	b2201
G220	G351	1	b2193	b2201
G255	G351	1	b0761	b2201
G110	G353	1	b1892	b1077
G219	G353	1	b1891	b1077
G223	G363	1	b3237	b3359
G193	G367	1	b0487	b0484
G55	G392	1	b3357	b3579
G247	G392	1	b3574	b3579
G268	G392	1	b0912	b3579
G333	G392	1	b1712	b3579
G3	G394	1	b3702	b3863
G255	G398	1	b0761	b0764
G23	G400	1	b3261	b4270
G305	G408	1	b0683	b0583
G110	G413	1	b1892	b1879
G219	G413	1	b1891	b1879
G120	G418	1	b0571	b0572
G140	G422	1	b1275	b0366
G197	G422	1	b1987	b0366
G174	G424	1	b2709	b2710
G268	G424	1	b0912	b2710
G333	G424	1	b1712	b2710
G255	G425	1	b0761	b0763
G110	G431	1	b1892	b1074
G219	G431	1	b1891	b1074
G103	G433	1	b0464	b0463
G123	G433	1	b3264	b0463
G210	G433	1	b4396	b0463
G55	G434	1	b3357	b3671
G86	G437	1	b3912	b2077
G144	G437	1	b2079	b2077
G55	G443	1	b3357	b3600
G282	G443	1	b0080	b3600
G223	G444	1	b3237	b3958
G11	G448	1	b0064	b2841
G55	G448	1	b3357	b2841
G10	G449	1	b1951	b2061
G274	G449	1	b2217	b2061
G73	G450	1	b4043	b0779
G22	G454	1	b2289	b4313
G281	G454	1	b1237	b4313
G140	G465	1	b1275	b2422
G251	G469	1	b4133	b4131
G268	G480	1	b0912	b0809
G303	G480	1	b3868	b0809
G333	G480	1	b1712	b0809
G118	G482	1	b4393	b1262
G23	G488	1	b3261	b2283
G92	G488	1	b1334	b2283
G268	G488	1	b0912	b2283
G313	G488	1	b4401	b2283
G333	G488	1	b1712	b2283
G73	G490	1	b4043	b0890
G55	G492	1	b3357	b4196
G221	G492	1	b4191	b4196
G268	G492	1	b0912	b4196
G333	G492	1	b1712	b4196
G55	G495	1	b3357	b3707
G166	G495	1	b0995	b3707
G140	G518	1	b1275	b1379
G89	G519	1	b1531	b4177
G199	G519	1	b1658	b4177
G55	G525	1	b3357	b2095
G207	G534	1	b4018	b4014
G268	G534	1	b0912	b4014
G282	G534	1	b0080	b4014
G333	G534	1	b1712	b4014
G10	G538	1	b1951	b2058
G274	G538	1	b2217	b2058
G55	G539	1	b3357	b1517
G92	G544	1	b1334	b1669
G192	G544	1	b1221	b1669
G220	G544	1	b2193	b1669
G99	G548	1	b2731	b2712
G282	G548	1	b0080	b2712
G86	G558	1	b3912	b2470
G144	G558	1	b2079	b2470
G66	G561	1	b0399	b0241
G118	G565	1	b4393	b0388
G170	G565	1	b1323	b0388
G23	G572	1	b3261	b3855
G309	G574	1	b4062	b0852
G258	G579	1	b3131	b3137
G86	G587	1	b3912	b2075
G144	G587	1	b2079	b2075
G55	G589	1	b3357	b2509
G255	G592	1	b0761	b0781
G86	G593	1	b3912	b0929
G244	G593	1	b0889	b0929
G268	G593	1	b0912	b0929
G283	G593	1	b3405	b0929
G333	G593	1	b1712	b0929
G244	G600	1	b0889	b4129
G251	G621	1	b4133	b4132
G86	G632	1	b3912	b1902
G289	G634	1	b2105	b2106
G305	G634	1	b0683	b2106
G244	G650	1	b0889	b3460
G199	G657	1	b1658	b1132
G235	G658	1	b3961	b0606
G92	G659	1	b1334	b0733
G281	G659	1	b1237	b0733
G282	G659	1	b0080	b0733
G313	G659	1	b4401	b0733
G125	G665	1	b1130	b1129
G259	G666	1	b3512	b3511
G281	G666	1	b1237	b3511
G205	G673	1	b2808	b2905
G244	G673	1	b0889	b2905
G92	G678	1	b1334	b2203
G116	G678	1	b2531	b2203
G192	G678	1	b1221	b2203
G220	G678	1	b2193	b2203
G255	G678	1	b0761	b2203
G55	G681	1	b3357	b2804
G23	G684	1	b3261	b2282
G92	G684	1	b1334	b2282
G268	G684	1	b0912	b2282
G313	G684	1	b4401	b2282
G333	G684	1	b1712	b2282
G2	G688	1	b3481	b3478
G92	G688	1	b1334	b3478
G55	G691	1	b3357	b1738
G128	G691	1	b1735	b1738
G260	G691	1	b0676	b1738
G8	G700	1	b3828	b3829
G84	G700	1	b3938	b3829
G55	G702	1	b3357	b0721
G313	G702	1	b4401	b0721
G223	G714	1	b3237	b2306
G235	G718	1	b3961	b0604
G23	G769	1	b3261	b3368
G92	G769	1	b1334	b3368
G192	G769	1	b1221	b3368
G220	G769	1	b2193	b3368
G268	G769	1	b0912	b3368
G281	G769	1	b1237	b3368
G282	G769	1	b0080	b3368
G333	G769	1	b1712	b3368
G116	G774	1	b2531	b1680
G235	G774	1	b3961	b1680
G268	G774	1	b0912	b1680
G305	G774	1	b0683	b1680
G333	G774	1	b1712	b1680
G285	G782	1	b3569	b3566
G147	G784	1	b1187	b3495
G23	G785	1	b3261	b2231
G223	G791	1	b3237	b1747
G303	G791	1	b3868	b1747
G118	G792	1	b4393	b0389
G170	G792	1	b1323	b0389
G89	G796	1	b1531	b4439
G210	G796	1	b4396	b4439
G244	G796	1	b0889	b4439
G268	G796	1	b0912	b4439
G309	G796	1	b4062	b4439
G333	G796	1	b1712	b4439
G55	G797	1	b3357	b3172
G223	G797	1	b3237	b3172
G147	G809	1	b1187	b0954
G202	G809	1	b3963	b0954
G223	G813	1	b3237	b2308
G140	G817	1	b1275	b2421
G224	G823	1	b1013	b0592
G305	G823	1	b0683	b0592
G140	G824	1	b1275	b0368
G197	G824	1	b1987	b0368
G86	G835	1	b3912	b1889
G73	G839	1	b4043	b2698
G172	G844	1	b0413	b2673
G92	G847	1	b1334	b3908
G268	G847	1	b0912	b3908
G305	G847	1	b0683	b3908
G309	G847	1	b4062	b3908
G313	G847	1	b4401	b3908
G333	G847	1	b1712	b3908
G8	G853	1	b3828	b2551
G199	G853	1	b1658	b2551
G192	G855	1	b1221	b4125
G255	G857	1	b0761	b0783
G92	G864	1	b1334	b0873
G192	G864	1	b1221	b0873
G92	G869	1	b1334	b1587
G192	G869	1	b1221	b1587
G23	G872	1	b3261	b3273
G23	G876	1	b3261	b3366
G92	G876	1	b1334	b3366
G192	G876	1	b1221	b3366
G220	G876	1	b2193	b3366
G268	G876	1	b0912	b3366
G281	G876	1	b1237	b3366
G282	G876	1	b0080	b3366
G333	G876	1	b1712	b3366
G107	G879	1	b3438	b1851
G282	G879	1	b0080	b1851
G281	G886	1	b1237	b2679
G23	G887	1	b3261	b4069
G55	G887	1	b3357	b4069
G268	G887	1	b0912	b4069
G333	G887	1	b1712	b4069
G23	G890	1	b3261	b0672
G164	G896	1	b2213	b4187
G244	G896	1	b0889	b4187
G223	G897	1	b3237	b2309
G23	G900	1	b3261	b3167
G55	G900	1	b3357	b3167
G223	G900	1	b3237	b3167
G4	G907	1	b3118	b3114
G55	G907	1	b3357	b3114
G56	G907	1	b3119	b3114
G268	G907	1	b0912	b3114
G333	G907	1	b1712	b3114
G110	G911	1	b1892	b1880
G219	G911	1	b1891	b1880
G73	G912	1	b4043	b1860
G264	G923	1	b0020	b1023
G92	G925	1	b1334	b1673
G192	G925	1	b1221	b1673
G220	G925	1	b2193	b1673
G73	G926	1	b4043	b4347
G73	G931	1	b4043	b1061
G140	G934	1	b1275	b2424
G3	G936	1	b3702	b1415
G55	G936	1	b3357	b1415
G313	G936	1	b4401	b1415
G145	G937	1	b3418	b3571
G199	G947	1	b1658	b4006
G55	G948	1	b3357	b4438
G55	G952	1	b3357	b3132
G258	G952	1	b3131	b3132
G147	G956	1	b1187	b2323
G202	G956	1	b3963	b2323
G8	G961	1	b3828	b4019
G138	G964	1	b2369	b2368
G55	G965	1	b3357	b0723
G313	G965	1	b4401	b0723
G55	G970	1	b3357	b1733
G128	G970	1	b1735	b1733
G260	G970	1	b0676	b1733
G89	G972	1	b1531	b0578
G55	G989	1	b3357	b2366
G138	G991	1	b2369	b2085
G23	G992	1	b3261	b3260
G55	G992	1	b3357	b3260
G268	G992	1	b0912	b3260
G333	G992	1	b1712	b3260
G244	G995	1	b0889	b1245
G151	G998	1	b0034	b0041
G23	G999	1	b3261	b3976
G140	G1000	1	b1275	b2423
G281	G1008	1	b1237	b2677
G44	G1018	1	b2714	b0473
G244	G1019	1	b0889	b3766
G268	G1019	1	b0912	b3766
G333	G1019	1	b1712	b3766
G235	G1020	1	b3961	b4637
G309	G1020	1	b4062	b4637
G119	G1027	1	b3773	b3774
G4	G1029	1	b3118	b3115
G55	G1029	1	b3357	b3115
G56	G1029	1	b3119	b3115
G268	G1029	1	b0912	b3115
G333	G1029	1	b1712	b3115
G55	G1033	1	b3357	b4323
G253	G1033	1	b4324	b4323
G4	G1034	1	b3118	b3113
G55	G1034	1	b3357	b3113
G56	G1034	1	b3119	b3113
G268	G1034	1	b0912	b3113
G333	G1034	1	b1712	b3113
G282	G1035	1	b0080	b1136
G313	G1035	1	b4401	b1136
G55	G1036	1	b3357	b3709
G166	G1036	1	b0995	b3709
G313	G1039	1	b4401	b0314
G2	G1047	1	b3481	b3477
G92	G1047	1	b1334	b3477
G23	G1049	1	b3261	b3165
G55	G1049	1	b3357	b3165
G223	G1049	1	b3237	b3165
G55	G1051	1	b3357	b4035
G145	G1051	1	b3418	b4035
G281	G1054	1	b1237	b1259
G224	G1057	1	b1013	b1007
G55	G1058	1	b3357	b3363
G86	G1058	1	b3912	b3363
G277	G1058	1	b3934	b3363
G55	G1062	1	b3357	b2096
G55	G1074	1	b3357	b3670
G309	G1079	1	b4062	b0951
G55	G1080	1	b3357	b2091
G86	G1089	1	b3912	b0441
G86	G1090	1	b3912	b1039
G209	G1090	1	b1608	b1039
G283	G1090	1	b3405	b1039
G305	G1091	1	b0683	b0596
G125	G1097	1	b1130	b4242
G6	G1101	1	b1649	b1650
G224	G1101	1	b1013	b1650
G282	G1114	1	b0080	b2779
G188	G1116	1	b3515	b3506
G254	G1116	1	b3516	b3506
G23	G1117	1	b3261	b2782
G55	G1117	1	b3357	b2782
G89	G1119	1	b1531	b3508
G188	G1119	1	b3515	b3508
G254	G1119	1	b3516	b3508
G259	G1119	1	b3512	b3508
G281	G1119	1	b1237	b3508
G55	G1133	1	b3357	b4120
G167	G1133	1	b4118	b4120
G281	G1137	1	b1237	b4364
G73	G1138	1	b4043	b3065
G83	G1145	1	b4124	b4123
G99	G1146	1	b2731	b4079
G192	G1146	1	b1221	b4079
G31	G1155	1	b1916	b1707
G170	G1156	1	b1323	b1907
G55	G1157	1	b3357	b0598
G127	G1161	1	b4390	b2574
G73	G1170	1	b4043	b1861
G55	G1177	1	b3357	b0347
G178	G1177	1	b0346	b0347
G55	G1181	1	b3357	b0108
G116	G1186	1	b2531	b1706
G264	G1188	1	b0020	b1021
G55	G1190	1	b3357	b0342
G76	G1190	1	b0345	b0342
G281	G1190	1	b1237	b0342
G187	G1195	1	b3604	b3603
G313	G1195	1	b4401	b3603
G3	G1198	1	b3702	b3700
G232	G1198	1	b2916	b3700
G138	G1206	1	b2369	b2374
G169	G1212	1	b2220	b2224
G268	G1212	1	b0912	b2224
G333	G1212	1	b1712	b2224
G86	G1216	1	b3912	b2078
G144	G1216	1	b2079	b2078
G169	G1221	1	b2220	b2221
G268	G1221	1	b0912	b2221
G333	G1221	1	b1712	b2221
G199	G1222	1	b1658	b2557
G235	G1230	1	b3961	b0849
G89	G1246	1	b1531	b1611
G210	G1246	1	b4396	b1611
G309	G1246	1	b4062	b1611
G323	G1246	1	b4063	b1611
G263	G1247	1	b0504	b0516
G55	G1250	1	b3357	b1182
G92	G1250	1	b1334	b1182
G281	G1250	1	b1237	b1182
G326	G1250	1	b1642	b1182
G328	G1255	1	b4046	b1857
G223	G1256	1	b3237	b2818
G103	G1266	1	b0464	b0462
G123	G1266	1	b3264	b0462
G210	G1266	1	b4396	b0462
G208	G1280	1	b4178	b4209
G224	G1282	1	b1013	b1010
G116	G1284	1	b2531	b2528
G268	G1290	1	b0912	b0811
G303	G1290	1	b3868	b0811
G333	G1290	1	b1712	b0811
G116	G1307	1	b2531	b0156
G244	G1308	1	b0889	b3616
G260	G1322	1	b0676	b3730
G69	G1323	1	b0113	b0428
G313	G1323	1	b4401	b0428
G25	G1324	1	b3753	b3750
G224	G1326	1	b1013	b1009
G199	G1328	1	b1658	b2553
G110	G1330	1	b1892	b0653
G219	G1330	1	b1891	b0653
G8	G1332	1	b3828	b2552
G92	G1332	1	b1334	b2552
G55	G1340	1	b3357	b3452
G66	G1340	1	b0399	b3452
G55	G1355	1	b3357	b4198
G221	G1355	1	b4191	b4198
G268	G1355	1	b0912	b4198
G333	G1355	1	b1712	b4198
G199	G1365	1	b1658	b2500
G223	G1370	1	b3237	b3960
G268	G1371	1	b0912	b4027
G333	G1371	1	b1712	b4027
G330	G1387	1	b0506	b0509
G74	G1392	1	b3226	b4312
G260	G1392	1	b0676	b4312
G268	G1392	1	b0912	b4312
G281	G1392	1	b1237	b4312
G333	G1392	1	b1712	b4312
G99	G1394	1	b2731	b2723
G255	G1394	1	b0761	b2723
G268	G1394	1	b0912	b2723
G333	G1394	1	b1712	b2723
G174	G1395	1	b2709	b2711
G268	G1395	1	b0912	b2711
G333	G1395	1	b1712	b2711
G55	G1398	1	b3357	b4119
G167	G1398	1	b4118	b4119
G55	G1404	1	b3357	b3212
G223	G1404	1	b3237	b3212
G244	G1404	1	b0889	b3212
G259	G1404	1	b3512	b3212
G268	G1404	1	b0912	b3212
G333	G1404	1	b1712	b3212
G110	G1408	1	b1892	b1076
G219	G1408	1	b1891	b1076
G110	G1415	1	b1892	b0652
G219	G1415	1	b1891	b0652
G55	G1420	1	b3357	b2801
G140	G1427	1	b1275	b0933
G197	G1427	1	b1987	b0933
G268	G1427	1	b0912	b0933
G333	G1427	1	b1712	b0933
G13	G1434	1	b1988	b0336
G162	G1444	1	b3292	b3469
G3	G1451	1	b3702	b3701
G232	G1451	1	b2916	b3701
G110	G1457	1	b1892	b1075
G219	G1457	1	b1891	b1075
G55	G1458	1	b3357	b2661
G244	G1458	1	b0889	b2661
G264	G1461	1	b0020	b1022
G110	G1462	1	b1892	b1946
G219	G1462	1	b1891	b1946
G55	G1464	1	b3357	b2927
G282	G1464	1	b0080	b2927
G258	G1473	1	b3131	b3139
G224	G1485	1	b1013	b1012
G86	G1491	1	b3912	b3860
G118	G1492	1	b4393	b1260
G260	G1494	1	b0676	b3729
G55	G1499	1	b3357	b1621
G269	G1499	1	b1620	b1621
G92	G1505	1	b1334	b1226
G192	G1505	1	b1221	b1226
G268	G1505	1	b0912	b1226
G333	G1505	1	b1712	b1226
G328	G1512	1	b4046	b1858
G142	G1525	1	b1303	b1307
G268	G1525	1	b0912	b1307
G333	G1525	1	b1712	b1307
G55	G1526	1	b3357	b4321
G253	G1526	1	b4324	b4321
G55	G1530	1	b3357	b2094
G4	G1532	1	b3118	b3117
G55	G1532	1	b3357	b3117
G56	G1532	1	b3119	b3117
G268	G1532	1	b0912	b3117
G333	G1532	1	b1712	b3117
G330	G1535	1	b0506	b0508
G101	G1538	1	b4004	b4003
G55	G1539	1	b3357	b0903
G92	G1539	1	b1334	b0903
G192	G1539	1	b1221	b0903
G268	G1539	1	b0912	b0903
G313	G1539	1	b4401	b0903
G333	G1539	1	b1712	b0903
G305	G1540	1	b0683	b0587
G305	G1543	1	b0683	b0589
G179	G1545	1	b4260	b0032
G199	G1545	1	b1658	b0032
G223	G1545	1	b3237	b0032
G224	G1545	1	b1013	b0032
G268	G1545	1	b0912	b0032
G333	G1545	1	b1712	b0032
G55	G1551	1	b3357	b3599
G282	G1551	1	b0080	b3599
G73	G1554	1	b4043	b0799
G55	G1557	1	b3357	b3578
G247	G1557	1	b3574	b3578
G268	G1557	1	b0912	b3578
G333	G1557	1	b1712	b3578
G66	G1564	1	b0399	b0383
G10	G1566	1	b1951	b0094
G31	G1566	1	b1916	b0094
G274	G1566	1	b2217	b0094
G48	G1581	1	b2537	b2540
G55	G1586	1	b3357	b3223
G74	G1586	1	b3226	b3223
G55	G1588	1	b3357	b2802
G99	G1589	1	b2731	b2719
G255	G1589	1	b0761	b2719
G268	G1589	1	b0912	b2719
G333	G1589	1	b1712	b2719
G92	G1595	1	b1334	b1591
G192	G1595	1	b1221	b1591
G305	G1601	1	b0683	b0586
G244	G1616	1	b0889	b2913
G83	G1631	1	b4124	b4154
G92	G1631	1	b1334	b4154
G192	G1631	1	b1221	b4154
G61	G1636	1	b0069	b0066
G55	G1643	1	b3357	b3666
G68	G1643	1	b3669	b3666
G66	G1645	1	b0399	b3724
G268	G1645	1	b0912	b3724
G333	G1645	1	b1712	b3724
G235	G1650	1	b3961	b0605
G36	G1653	1	b2980	b2976
G268	G1653	1	b0912	b2976
G313	G1653	1	b4401	b2976
G333	G1653	1	b1712	b2976
G309	G1654	1	b4062	b3624
G23	G1658	1	b3261	b4068
G55	G1658	1	b3357	b4068
G268	G1658	1	b0912	b4068
G333	G1658	1	b1712	b4068
G23	G1662	1	b3261	b1101
G55	G1662	1	b3357	b1101
G176	G1662	1	b1594	b1101
G309	G1662	1	b4062	b1101
G313	G1662	1	b4401	b1101
G268	G1664	1	b0912	b4026
G333	G1664	1	b1712	b4026
G283	G1673	1	b3405	b1634
G305	G1686	1	b0683	b0591
G23	G1693	1	b3261	b4073
G92	G1693	1	b1334	b4073
G192	G1693	1	b1221	b4073
G220	G1693	1	b2193	b4073
G268	G1693	1	b0912	b4073
G333	G1693	1	b1712	b4073
G258	G1695	1	b3131	b3140
G280	G1702	1	b1014	b1015
G86	G1703	1	b3912	b3911
G55	G1704	1	b3357	b1514
G23	G1705	1	b3261	b4072
G92	G1705	1	b1334	b4072
G192	G1705	1	b1221	b4072
G220	G1705	1	b2193	b4072
G268	G1705	1	b0912	b4072
G333	G1705	1	b1712	b4072
G10	G1708	1	b1951	b1481
G274	G1708	1	b2217	b1481
G10	G1712	1	b1951	b2059
G274	G1712	1	b2217	b2059
G258	G1715	1	b3131	b3138
G55	G1719	1	b3357	b3225
G74	G1719	1	b3226	b3225
